timestamp,facility_id,device_id,energy_kwh,operational_load,temperature_c,utilization_percent
2026-05-01 00:00:00,1,1,38.02,49.06,24.53,42.62
2026-05-01 00:00:00,1,2,28.19,30.93,24.53,31.8
2026-05-01 00:00:00,1,3,16.64,40.06,24.53,40.09
2026-05-01 00:00:00,2,4,45.46,49.11,24.53,48.12
2026-05-01 00:00:00,2,5,39.16,50.59,24.53,50.29
2026-05-01 00:00:00,2,6,18.84,40.42,24.53,36.93
2026-05-01 00:00:00,3,7,48.63,53.64,24.53,49.21
2026-05-01 00:00:00,3,8,36.92,25.27,24.53,35.75
2026-05-01 00:00:00,3,9,21.03,29.93,24.53,32.34
2026-05-01 00:00:00,4,10,29.49,34.16,24.53,34.51
2026-05-01 00:00:00,4,11,26.91,42.33,24.53,40.75
2026-05-01 00:00:00,4,12,38.64,41.04,24.53,43.54
2026-05-01 01:00:00,1,1,37.18,49.08,23.45,43.75
2026-05-01 01:00:00,1,2,29.02,50.78,23.45,45.09
2026-05-01 01:00:00,1,3,17.11,42.18,23.45,45.43
2026-05-01 01:00:00,2,4,40.85,40.24,23.45,46.01
2026-05-01 01:00:00,2,5,35.84,42.21,23.45,42.52
2026-05-01 01:00:00,2,6,20.21,41.91,23.45,44.35
2026-05-01 01:00:00,3,7,47.48,34.06,23.45,37.09
2026-05-01 01:00:00,3,8,41.85,36.46,23.45,37.63
2026-05-01 01:00:00,3,9,19.05,38.49,23.45,35.84
2026-05-01 01:00:00,4,10,41.16,43.23,23.45,42.56
2026-05-01 01:00:00,4,11,29.67,44.44,23.45,45.72
2026-05-01 01:00:00,4,12,38.98,47.27,23.45,47.38
2026-05-01 02:00:00,1,1,38.78,33.92,25.95,39.87
2026-05-01 02:00:00,1,2,28.56,43.61,25.95,40.34
2026-05-01 02:00:00,1,3,17.33,48.7,25.95,51.04
2026-05-01 02:00:00,2,4,45.15,54.02,25.95,47.12
2026-05-01 02:00:00,2,5,33.01,32.65,25.95,36.85
2026-05-01 02:00:00,2,6,20.61,49.08,25.95,48.2
2026-05-01 02:00:00,3,7,80.8,53.79,25.95,52.67
2026-05-01 02:00:00,3,8,45.35,42.4,25.95,34.73
2026-05-01 02:00:00,3,9,23.17,48.57,25.95,46.2
2026-05-01 02:00:00,4,10,37.78,47.95,25.95,44.81
2026-05-01 02:00:00,4,11,29.14,48.37,25.95,40.29
2026-05-01 02:00:00,4,12,36.79,42.51,25.95,42.85
2026-05-01 03:00:00,1,1,35.04,51.89,23.51,56.36
2026-05-01 03:00:00,1,2,31.26,45.56,23.51,41.97
2026-05-01 03:00:00,1,3,15.76,44.44,23.51,39.34
2026-05-01 03:00:00,2,4,45.95,45.02,23.51,49.46
2026-05-01 03:00:00,2,5,37.48,43.31,23.51,42.84
2026-05-01 03:00:00,2,6,19.98,34.19,23.51,36.15
2026-05-01 03:00:00,3,7,50.91,35.87,23.51,32.39
2026-05-01 03:00:00,3,8,43.07,34.67,23.51,33.34
2026-05-01 03:00:00,3,9,19.87,25.51,23.51,28.49
2026-05-01 03:00:00,4,10,34.26,43.88,23.51,41.28
2026-05-01 03:00:00,4,11,25.51,42.92,23.51,42.91
2026-05-01 03:00:00,4,12,44.84,41.45,23.51,45.32
2026-05-01 04:00:00,1,1,46.25,50.69,28.28,52.45
2026-05-01 04:00:00,1,2,31.6,39.71,28.28,38.8
2026-05-01 04:00:00,1,3,17.68,38.73,28.28,30.72
2026-05-01 04:00:00,2,4,48.52,41.07,28.28,49.96
2026-05-01 04:00:00,2,5,39.47,31.59,28.28,33.77
2026-05-01 04:00:00,2,6,19.91,40.32,28.28,44.72
2026-05-01 04:00:00,3,7,53.03,49.31,28.28,47.45
2026-05-01 04:00:00,3,8,35.38,42.66,28.28,41.07
2026-05-01 04:00:00,3,9,21.84,31.68,28.28,35.05
2026-05-01 04:00:00,4,10,36.9,43.89,28.28,43.77
2026-05-01 04:00:00,4,11,30.71,38.04,28.28,35.47
2026-05-01 04:00:00,4,12,32.03,38.96,28.28,39.58
2026-05-01 05:00:00,1,1,35.19,43.1,24.74,45.79
2026-05-01 05:00:00,1,2,33.61,27.6,24.74,23.87
2026-05-01 05:00:00,1,3,16.97,40.31,24.74,41.2
2026-05-01 05:00:00,2,4,51.41,42.09,24.74,44.74
2026-05-01 05:00:00,2,5,38.45,40.15,24.74,49.17
2026-05-01 05:00:00,2,6,16.58,50.82,24.74,50.46
2026-05-01 05:00:00,3,7,47.88,49.59,24.74,48.28
2026-05-01 05:00:00,3,8,42.36,36.44,24.74,37.48
2026-05-01 05:00:00,3,9,19.99,34.3,24.74,36.38
2026-05-01 05:00:00,4,10,31.6,44.93,24.74,49.26
2026-05-01 05:00:00,4,11,29.26,50.99,24.74,44.13
2026-05-01 05:00:00,4,12,38.61,47.19,24.74,40.63
2026-05-01 06:00:00,1,1,52.47,69.25,25.5,65.47
2026-05-01 06:00:00,1,2,43.52,50.72,25.5,52.69
2026-05-01 06:00:00,1,3,22.16,60.42,25.5,52.42
2026-05-01 06:00:00,2,4,62.87,47.49,25.5,46.74
2026-05-01 06:00:00,2,5,50.66,50.05,25.5,58.2
2026-05-01 06:00:00,2,6,24.63,67.35,25.5,60.11
2026-05-01 06:00:00,3,7,65.61,52.43,25.5,60.1
2026-05-01 06:00:00,3,8,61.09,64.05,25.5,57.52
2026-05-01 06:00:00,3,9,28.79,54.79,25.5,57.72
2026-05-01 06:00:00,4,10,46.05,55.71,25.5,53.92
2026-05-01 06:00:00,4,11,36.4,52.96,25.5,52.12
2026-05-01 06:00:00,4,12,53.07,54.05,25.5,52.8
2026-05-01 07:00:00,1,1,63.82,43.88,28.54,46.42
2026-05-01 07:00:00,1,2,40.48,42.59,28.54,44.72
2026-05-01 07:00:00,1,3,24.88,68.1,28.54,65.04
2026-05-01 07:00:00,2,4,66.85,51.43,28.54,48.85
2026-05-01 07:00:00,2,5,48.49,58.6,28.54,62.54
2026-05-01 07:00:00,2,6,27.46,55.95,28.54,56.18
2026-05-01 07:00:00,3,7,79.86,53.15,28.54,53.45
2026-05-01 07:00:00,3,8,51.78,65.45,28.54,62.93
2026-05-01 07:00:00,3,9,29.33,59.41,28.54,60.05
2026-05-01 07:00:00,4,10,48.58,54.2,28.54,51.99
2026-05-01 07:00:00,4,11,38.07,64.35,28.54,58.75
2026-05-01 07:00:00,4,12,50.96,50.84,28.54,53.09
2026-05-01 08:00:00,1,1,59.77,52.54,28.97,50.29
2026-05-01 08:00:00,1,2,41.08,52.65,28.97,51.63
2026-05-01 08:00:00,1,3,23.82,54.78,28.97,57.12
2026-05-01 08:00:00,2,4,71.66,55.54,28.97,59.31
2026-05-01 08:00:00,2,5,54.32,52.06,28.97,54.59
2026-05-01 08:00:00,2,6,26.35,49.61,28.97,57.31
2026-05-01 08:00:00,3,7,77.97,53.08,28.97,50.2
2026-05-01 08:00:00,3,8,57.83,63.72,28.97,63.5
2026-05-01 08:00:00,3,9,65.5,54.66,28.97,56.55
2026-05-01 08:00:00,4,10,49.92,56.38,28.97,57.66
2026-05-01 08:00:00,4,11,38.54,55.85,28.97,59.45
2026-05-01 08:00:00,4,12,53.82,41.13,28.97,49.21
2026-05-01 09:00:00,1,1,86.55,66.87,28.91,74.41
2026-05-01 09:00:00,1,2,59.28,81.37,28.91,85.34
2026-05-01 09:00:00,1,3,30.58,74.94,28.91,79.36
2026-05-01 09:00:00,2,4,91.35,73.66,28.91,75.95
2026-05-01 09:00:00,2,5,72.09,78.55,28.91,80.67
2026-05-01 09:00:00,2,6,38.33,85.77,28.91,79.65
2026-05-01 09:00:00,3,7,107.08,73.0,28.91,77.0
2026-05-01 09:00:00,3,8,77.93,73.41,28.91,69.24
2026-05-01 09:00:00,3,9,39.87,75.25,28.91,74.86
2026-05-01 09:00:00,4,10,120.99,71.13,28.91,78.96
2026-05-01 09:00:00,4,11,56.0,72.03,28.91,77.25
2026-05-01 09:00:00,4,12,72.41,83.97,28.91,79.77
2026-05-01 10:00:00,1,1,92.97,77.63,32.39,76.27
2026-05-01 10:00:00,1,2,61.29,83.23,32.39,79.28
2026-05-01 10:00:00,1,3,31.7,86.79,32.39,85.82
2026-05-01 10:00:00,2,4,108.07,80.94,32.39,82.94
2026-05-01 10:00:00,2,5,75.0,75.2,32.39,79.09
2026-05-01 10:00:00,2,6,36.78,70.0,32.39,69.31
2026-05-01 10:00:00,3,7,119.29,83.39,32.39,83.39
